Title,Author,Price,Stars,URL
"Make Money With Chart Patterns: A Complete Trading Guide for Stock Market | Proven Chart Patterns Trading Method | Pocket Book (Paperback, Sunil Gurjar (Chartmojo) and Vijay Thakkar (Master In One))",Sunil Gurjar (Chartmojo),₹299.00,5.0 out of 5 stars,https://www.amazon.in/Make-Money-Chart-Patterns-Paperback/dp/8196476108/ref=zg_bs_g_books_sccl_8/000-0000000-0000000?psc=1
Autobiography of A Yogi (Hindi),Paramahansa Yogananda,₹179.00,4.6 out of 5 stars,https://www.amazon.in/Autobiography-Yogi-HINDI-Paramahansa-Yogananda/dp/9389432472/ref=zg_bs_g_books_sccl_9/000-0000000-0000000?psc=1
Mahagatha: 100 Tales from the Puranas,Satyarth Nayak,₹257.00,4.7 out of 5 stars,https://www.amazon.in/Mahagatha-Tales-Puranas-Satyarth-Nayak/dp/9356294496/ref=zg_bs_g_books_sccl_10/000-0000000-0000000?psc=1
Rich Dad Poor Dad ( Original & Complete) Hindi,Robert T. Kiyosaki,₹223.00,4.5 out of 5 stars,https://www.amazon.in/Rich-Dad-Poor-Robert-Kiyosaki/dp/8186775218/ref=zg_bs_g_books_sccl_11/000-0000000-0000000?psc=1
"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson [Paperback] Albom, Mitch",Mitch Albom,₹206.00,4.6 out of 5 stars,https://www.amazon.in/Tuesdays-Morrie-greatest-lesson-Paperback/dp/0751527378/ref=zg_bs_g_books_sccl_12/000-0000000-0000000?psc=1
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,₹203.00,4.5 out of 5 stars,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549/ref=zg_bs_g_books_sccl_13/000-0000000-0000000?psc=1
"The Hidden Hindu: Science-Fiction meets Indian mythology in a nail biting thriller set in 2020 [Paperback] Gupta, Akshat",Akshat Gupta,₹157.00,4.4 out of 5 stars,https://www.amazon.in/Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_g_books_sccl_14/000-0000000-0000000?psc=1
"Story Books for Kids (Set of 5 Books) (Illustrated) - Indian Scientists - Biographies for Children - 6 Years to 10 Years Old - CV Raman, Homi Bhabha, Ramanujan, Vikram Sarabhai, Abdul Kalam",Maple Press,₹120.00,4.5 out of 5 stars,https://www.amazon.in/Story-Books-Kids-Set-Illustrated/dp/8196149921/ref=zg_bs_g_books_sccl_15/000-0000000-0000000?psc=1
"Sank Magic Practice Copybook, (4 BOOK + 10 REFILL+ 1 Pen +1 Grip) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering",Sank Magic,₹113.00,3.9 out of 5 stars,https://www.amazon.in/Practice-Preschoolers-Calligraphy-Practical-Lettering/dp/9551753437/ref=zg_bs_g_books_sccl_16/000-0000000-0000000?psc=1
"Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",Oxford University Press,₹250.00,4.5 out of 5 stars,https://www.amazon.in/Oxford-Student-Atlas-India-Fourth/dp/9391050840/ref=zg_bs_g_books_sccl_17/000-0000000-0000000?psc=1
